Date,Open,High,Low,Close,Adj Close,Volume
2014-01-16,912.7000122070312,929.7999877929688,901.2999877929688,922.0499877929688,883.141357421875,208882
2014-01-17,919.0,933.4500122070312,917.0,927.4000244140624,888.265625,89085
2014-01-20,931.0,942.0,927.4000244140624,939.4000244140624,899.7591552734375,93297
2014-01-21,941.0999755859376,949.0,931.0,946.0,906.0806884765624,153772
2014-01-22,949.7000122070312,949.7000122070312,927.5,941.4000244140624,901.6747436523438,74869
2014-01-23,942.2000122070312,945.0,929.0,940.7999877929688,901.1001586914062,65283
2014-01-24,935.0,945.0,927.0999755859376,941.9000244140624,902.153564453125,102697
2014-01-27,941.5,941.5,925.0,934.8499755859376,895.4011840820312,99977
2014-01-28,929.0,934.9500122070312,906.0999755859376,916.5999755859376,877.9212646484375,133197
2014-01-29,918.2000122070312,928.0,900.9000244140624,905.5499877929688,867.337646484375,46413
2014-01-30,896.0499877929688,933.0,896.0499877929688,921.8499755859376,882.9498291015625,89529
2014-01-31,917.0999755859376,944.5999755859376,906.2000122070312,930.2000122070312,890.947509765625,70146
2014-02-03,935.0,969.7999877929688,933.8499755859376,937.5999755859376,898.0350952148438,190405
2014-02-04,935.0,942.7999877929688,915.5999755859376,930.1500244140624,890.8995361328125,90853
2014-02-05,923.25,947.6500244140624,923.25,935.2000122070312,895.7365112304688,60835
2014-02-06,936.25,948.0,923.0499877929688,945.2000122070312,905.314453125,100385
2014-02-07,950.25,954.6500244140624,940.0,945.75,905.841064453125,348982
2014-02-10,946.7999877929688,958.6500244140624,930.3499755859376,945.6500244140624,905.7455444335938,249117
2014-02-11,946.7000122070312,948.0,931.2000122070312,942.0999755859376,902.3451538085938,107337
2014-02-12,943.1500244140624,945.0,931.0499877929688,936.0499877929688,896.5504760742188,89113
2014-02-13,935.0,943.7000122070312,925.9000244140624,930.7000122070312,891.4262084960938,123494
2014-02-14,931.75,935.0,907.9500122070312,910.7999877929688,872.3660278320312,88358
2014-02-17,918.0,924.7999877929688,910.2000122070312,920.6500244140624,881.8004150390625,83621
2014-02-18,932.9000244140624,932.9000244140624,920.0499877929688,925.3499755859376,886.3021240234375,74253
2014-02-19,926.4000244140624,937.4000244140624,922.0999755859376,928.5999755859376,889.4148559570312,115736
2014-02-20,926.3499755859376,926.3499755859376,902.2000122070312,907.2000122070312,868.9180297851562,86194
2014-02-21,908.25,917.75,897.0,900.2999877929688,862.30908203125,77983
2014-02-24,905.0,914.7999877929688,900.25,909.1500244140624,870.7855834960938,39523
2014-02-25,910.2000122070312,917.7000122070312,909.0,912.7999877929688,874.2816772460938,49759
2014-02-26,919.9500122070312,919.9500122070312,905.4000244140624,908.7999877929688,870.450439453125,63923
2014-02-28,895.7000122070312,928.0,895.7000122070312,920.2999877929688,881.4652709960938,229839
2014-03-03,920.0,923.9500122070312,901.25,902.5,864.4163208007812,39652
2014-03-04,903.5499877929688,911.0,895.0499877929688,899.5499877929688,861.5908203125,74965
2014-03-05,902.9000244140624,912.7999877929688,902.9000244140624,907.4500122070312,869.1574096679688,161162
2014-03-06,908.5,913.9000244140624,896.1500244140625,898.3499755859375,860.4413452148438,117509
2014-03-07,908.0,908.0,885.0,887.1500244140625,849.7139892578125,121701
2014-03-10,889.0,889.3499755859375,865.0,872.4000244140625,835.5865478515625,141440
2014-03-11,874.4000244140625,886.0,853.0,854.9500122070312,818.8727416992188,132434
2014-03-12,855.0,871.5,852.0999755859375,863.7000122070312,827.2536010742188,141798
2014-03-13,873.0,880.0,854.5,858.25,822.0335083007812,116702
2014-03-14,873.0,873.0,858.0,863.9500122070312,827.4929809570312,221085
2014-03-18,863.2999877929688,877.0,859.5999755859375,874.4500122070312,837.5499267578125,124700
2014-03-19,879.9000244140625,889.7999877929688,861.0,882.5999755859375,845.3560180664062,134676
2014-03-20,874.0,882.0,870.0,875.0999755859375,838.1724243164062,53398
2014-03-21,876.8499755859375,907.4000244140624,876.8499755859375,898.0,860.106201171875,174879
